make,description,model,type,DEPT,CATEGORY,SIZE,PACK_QTY,COST,PRICE,available,vendor,REORDER_NO,MIN_ORDER
PIONEER,PIONEER DD CD USB BLUETOOTH,FHX720BT,STANDARD,CD,,,1,114,179.99,0,PIONEER,,
PIONEER,PIONEER DD BLUETOOTH,FHX830BHS,STANDARD,CD,,,1,130,179.99,0,PIONEER,,
METRA,HARNES VOLVO,709220,STANDARD,INSTALL,,,1,7,24.99,1,SANTAFE,,
METRA,HARNES VOLVO,709221,STANDARD,INSTALL,,,1,7,24.99,0,SANTAFE,,
METRA,HARNESS LANDROVER,709400,STANDARD,INSTALL,,,1,13,29.99,1,SANTAFE,,
KENWOOD,CD BLUETOOTH DD RADIO,DPX504BT,STANDARD,HEADUNIT,,,1,118,159.99,1,KENWOOD,,
KENWOOD,CD BLUETOOTH USB RECEIVER,DPX594BT,STANDARD,HEADUNIT,,,1,141,229.99,0,KENWOOD,,
KENWOOD,CD USB AUX,KDC168U,STANDARD,HEADUNIT,,,1,71,89.99,0,KENWOOD,,
KENWOOD,CD BLUETOOTH RADIO,KDCBT278U,STANDARD,HEADUNIT,,,1,70,109.99,0,KENWOOD,,
KENWOOD,CD BLUETOOTH RADIO,KDCBT378U,STANDARD,HEADUNIT,,,1,85,129.99,0,KENWOOD,,
METRA,CHEVY SILVERADO 14UP KIT,993014G,STANDARD,INSTALL,,,1,22.42,59.99,1,SANTA FE,,
METRA,CHEVY IMPALA 14 AND UP KIT,993024B,STANDARD,INSTALL,,,1,34.63,79.99,0,SANTA FE,,
METRA,HARNES,709401,STANDARD,INSTALL,,,1,7,17.99,0,SANTAFE,,
METRA,6X9 SPACER,826900,STANDARD,INSTALL,,,1,5,15.99,0,SANTAFE,,
METRA,KIT DD GM,952005,STANDARD,INSTALL,,,1,9,29.99,0,SANTAFE,,
METRA,NISSAN VERSA DDIN KIT,952621,STANDARD,INSTALL,,,1,12.82,34.99,1,SANTA FE,,
METRA,CHEVY ASTRO KIT 96-05,953005,STANDARD,INSTALL,,,1,20,49.99,0,SANTA FE,,
METRA,GM KIT,953302,STANDARD,INSTALL,,,1,9.51,29.99,2,SANTAFE,,
JENSEN,JENSEN BLUETOOTH RADIO,MPR2110,STANDARD,CD,,,1,25,49.99,3,JENSEN,,
PIONEER,PIONEER MEDIA PLAYER,SPH10BT,STANDARD,CD,,,1,114,149.99,0,PIONEER,,
AUDIOCONTROL,AUDIOCONTROL EPIC KNOB,ACR1,STANDARD,EQX,,,1,25.8,59.99,0,AUDIOCONTROL,,
AUDIOCONTROL,AUDIOCONTROL KNOB,ACR2,STANDARD,EQX,,,1,30,59.99,0,CARTOYZ,,
AUDIOCONTROL,EPIC CENTER,EPICENTER,STANDARD,EQX,,,1,120,259.99,1,STINGER SOLUTIONS,,
MEMPHIS,MEMPHIS 7 BAND EQ,EQL7,STANDARD,EQX,,,1,63,149.99,0,SANTA FE,,
METRA,GM 06+ MULTI KIT,953305,STANDARD,INSTALL,,,1,6.89,34.99,5,SANTA FE,,
AUDIOCONTROL,AUDIOCONTROL OEM LINE OUTPUT,LC2I,STANDARD,EQX,,,1,79.39,99.99,0,AUDIOVOX,,
