MODEL,VENDORMODEL,MAKE,NEW,MSRP,MAP,PRICE,MC,DESCRIPTION
DMHC5500NEX,DMH-C5500NEX,PIONEER,X,900,750,488.74,4,Non-Din separate 8'' BT CP/AAP HD
DMHW3000NEX,DMH-W3000NEX,PIONEER,X,540,380,292,6,Wireless CP/AA Multimedia Dig. Media Rec
DMHW3050NEX,DMH-W3050NEX,PIONEER,X,550,420,328.5,6,Wireless CP/AA Multimedia Dig Media Rec
DMHW4660NEX,DMH-W4660NEX,PIONEER,,750,550,438,6,"2D 6.8"" BT WiFi Wireless CP/AAP HD"
DMHWC5700NEX,DMH-WC5700NEX,PIONEER,X,850,750,542.29,4,"Non-DIN/DMH Main 6.8"" BT WiFi CP/AAP HD"
DMHWC6600NEX,DMH-WC6600NEX,PIONEER,X,1200,1100,792,4,"Non-Din 9"" BT WiFi Wireless CP/AAP HD"
DMHWT5000NEX,DMH-WT5000NEX,PIONEER,X,1200,650,511,4,"25MID-DA 1D DMH 9""WSVGA Floating BT WiFi"
DMHWT6000NEX,DMH-WT6000NEX,PIONEER,X,1300,900,657,4,"24MID-DA 1D 10.1"" Floating Wireless"
ADTVA133,ADT-VA133,PIONEER,,60,0,39.45,12,2 DIN INSTALLATION KIT NAVI / AV
AVICW8600NEX,AVIC-W8600NEX,PIONEER,X,1800,1500,778.68,4,"Nex Navi rcvr w/7""screen Carplay BT HD S"
NDBC011,ND-BC011,PIONEER,,120,100,75,20,Universal Rear View Camera
RDRGB150A,RD-RGB150A,PIONEER,X,200,150,77.25,20,"Extended RGB, Power, Radio Antenna Cable"
GMDX104,GM-DX104,PIONEER,X,320,270,127.46,1,Class D 4-Channel Bridgeable Amplifier
GMDX871,GM-DX871,PIONEER,X,270,250,144.75,4,"1-CHANNEL AMP, Low Derivative"
GMDX874,GM-DX874,PIONEER,X,300,270,156.33,4,"1 4-CHANNEL AMP, Low Derivative"
GMDX971,GM-DX971,PIONEER,X,550,470,202.65,4,"1-CHANNEL AMP, 2400w max power"
GMDX975,GM-DX975,PIONEER,X,650,550,243.18,4,GM-D 5ch AMP Derivative
