Model,Item,Make,Description,UPC,MAP,Sheet,MP Qty,MP Weight,MP Length,MP Width,MP Height,Unit Weight,Unit Length,Unit Width,Unit Height
RFKHDRKM5,RFK-HDRKM5,ROCKFORD,"Complete amp install kit for 1998+ Harley Davidson® Road King motorcycles, includes Bluetooth streaming module",780687360382,$369.99,$225.00, 10 , 43.4 , 26.0 , 15.0 , 11.0 , 4.3 , 10.0 , 7.0 , 5.0 
PMX8BB,PMX-8BB,ROCKFORD,"Hide away media receiver, NMEA 2000 protocol & remote compatible, 4 zone source control, individual zone DSP EQ, Bluetooth, SiriusXM ready, Pandora, reverse camera trigger, AUX RCA, 2x Apple MFi USB inputs, AM/FM/WB. 50Wx4 2ohm stable internal amplifier, 4xF+S RCA outputs",780687344702,$719.99,$471.00, 6 , 22.6 , 26.0 , 15.0 , 11.0 , 3.8 , 10.0 , 7.9 , 2.2 
PMX8DH,PMX-8DH,ROCKFORD,"5” wet bonded IPX6 color display for PMX-8BB, ultra-thin design, composite camera input, 10ft ext. cable included",780687344696,$529.99,$327.00, 6 , 18.5 , 25.5 , 14.0 , 11.0 , 2.5 , 13.5 , 10.5 , 4.0 
PMX5CAN,PMX-5CAN,ROCKFORD,"1.75 DIN 2.7” wet bonded IPX6 color media receiver, NMEA 2000 protocol & remote compatible, 2 zone control, individual zone DSP EQ, Bluetooth, SiriusXM ready, Pandora, AUX RCA, Apple MFi USB input, AM/FM/WB, 50Wx4 2ohm internal amp, F+R+S+Z2 RCA outputs",780687351441,$489.99,$452.00, 6 , 28.2 , 20.3 , 14.5 , 14.3 , 4.7 , 9.9 , 5.4 , 6.7 
PMX3,PMX-3,ROCKFORD,"2.7” wet bonded IPX6 color media receiver, remote compatible, DSP EQ, Bluetooth, SiriusXM ready, Pandora, composite camera, AUX RCA, Apple MFi USB input, AM/FM/WB, 50Wx4 2ohm stable internal amplifier, F+R/S selectable RCA outputs",780687350635,$589.99,$380.00, 6 , 17.8 , 18.0 , 15.0 , 11.0 , 3.0 , 7.9 , 5.4 , 6.7 
PMX2,PMX-2,ROCKFORD,"2.7” wet bonded IPX6 color media receiver, remote compatible, DSP EQ, Bluetooth, Pandora, AUX RCA, Apple MFi certified USB input, AM/FM/WB, 50Wx4 2ohm stable internal amplifier, F+R/S selectable RCA outputs",780687344665,$549.99,$340.00, 6 , 16.8 , 17.0 , 15.0 , 11.0 , 2.8 , 9.0 , 6.5 , 6.5 
PMX1,PMX-1,ROCKFORD,"2.3” wet bonded IPX6 monochrome dot matrix display media receiver, 7-band + PEQ EQ, Bluetooth, AUX and USB inputs, AM/FM/WB, 50Wx4 2ohm stable internal amplifier, F+R/S selectable RCA outputs",780687351762,$329.99,$228.00, 6 , 7.9 , 17.5 , 14.0 , 11.0 , 1.2 , 10.0 , 6.8 , 5.5 
PMX0,PMX-0,ROCKFORD,"Ultra-compact media receiver, Bluetooth, AUX and USB inputs, F+R+S RCA outputs",780687345693,$259.99,$167.00, 10 , 12.4 , 22.0 , 8.0 , 11.5 , 1.2 , 7.5 , 5.5 , 4.0 
PMXCAN,PMX-CAN,ROCKFORD,"Interface module between NMEA 2000 multi-function display and PMX-5CAN or PMX-8BB, compatible with most NMEA 2000 MFD’s from Raymarine, Garmin, Simrad and others, visit Rockfordfosgate.com for compatibility",780687344719,$349.99,$214.00, 10 , 9.8 , 25.5 , 13.8 , 11.0 , 1.0 , 13.5 , 10.5 , 4.0 
PMX1R,PMX-1R,ROCKFORD,"2.7” wet bonded IPX6 color wired remote, compatible with PMX-2, PMX-3, PMX-5CAN and PMX-8BB, multi zone source and volume control when used with PMX-5CAN or PMX-8BB, combine up to 3 remotes",780687344658,$299.99,$200.00, 13 , 14.4 , 27.8 , 8.8 , 14.3 , 1.1 , 10.0 , 7.9 , 2.2 
